rgn_id,sciname,iucn_sid,year,eval_yr,category
25,Rhincodon typus,19488,2002,2000,VU
25,Steno bredanensis,20738,2002,NA,LC
25,Balaenoptera musculus,2477,2001,1996,EN
25,Carcharhinus melanopterus,39375,2001,2000,NT
25,Cheilinus undulatus,4592,2001,1996,VU
25,Chelonia mydas,4615,2001,1996,EN
25,Dermochelys coriacea,6494,2001,2000,CR
25,Dermochelys coriacea,46967817,2001,NA,CR
25,Dermochelys coriacea,46967873,2001,NA,NA
25,Eretmochelys imbricata,8005,2001,1996,CR
25,Isurus oxyrinchus,39341,2001,2000,NT
25,Isurus paucus,60225,2001,NA,VU
25,Lepidochelys olivacea,11534,2001,1996,EN
25,Orcaella brevirostris,15419,2001,NA,VU
25,Orcaella brevirostris,44557,2001,NA,CR
25,Prionace glauca,39381,2001,2000,NT
25,Rhincodon typus,19488,2001,2000,VU
25,Steno bredanensis,20738,2001,NA,LC
25,Balaenoptera musculus,2477,2000,1996,EN
25,Carcharhinus melanopterus,39375,2000,2000,NT
25,Cheilinus undulatus,4592,2000,1996,VU
25,Chelonia mydas,4615,2000,1996,EN
25,Dermochelys coriacea,6494,2000,2000,CR
25,Dermochelys coriacea,46967817,2000,NA,CR
25,Dermochelys coriacea,46967873,2000,NA,NA
25,Eretmochelys imbricata,8005,2000,1996,CR
25,Isurus oxyrinchus,39341,2000,2000,NT
25,Isurus paucus,60225,2000,NA,VU
25,Lepidochelys olivacea,11534,2000,1996,EN
25,Orcaella brevirostris,15419,2000,NA,VU
25,Orcaella brevirostris,44557,2000,NA,CR
25,Prionace glauca,39381,2000,2000,NT
25,Rhincodon typus,19488,2000,2000,VU
25,Steno bredanensis,20738,2000,NA,LC
25,Balaenoptera musculus,2477,1999,1996,EN
25,Carcharhinus melanopterus,39375,1999,NA,NT
25,Cheilinus undulatus,4592,1999,1996,VU
25,Chelonia mydas,4615,1999,1996,EN
25,Dermochelys coriacea,6494,1999,1996,EN
25,Dermochelys coriacea,46967817,1999,NA,CR
